,smiles,probs
99,OC1=C(C=2NC=3C(S(=O)(=O)N2)=CC=CC3)C(=O)N(CCN)C=4C1=CC=CN4,0.9998442
100,CC1=C(N2C3CCN(CC2)CC3)C=CC(NC=4N=C(C=CN4)C=5C=C6C(=NC5)NC(=O)C(C)(C)O6)=C1,1.0
101,N(C(NC1=C(Br)C=CC=C1)=O)C2=C(O)C=C(C)C=C2,1.0
102,CC1=C(N2[C@H]3C[C@@H](C2)N(C)C3)C=CC(NC=4N=C(C=CN4)C=5C=CC(NCCCN(C)C)=NC5)=C1,0.99994874
103,C(=C(/C(N)=S)\\C#N)\\C1=CC(O)=C(O)C=C1,1.0
104,[C@@H](CC1=CC=CC=C1)(NC([C@@H](NC([C@@H](NC([C@H](CC2=CC=CC=C2)N)=O)CCC(N)=O)=O)CCCNC(=N)N)=O)C(N[C@H](C(N[C@@H](CCCNC(=N)N)C(O)=O)=O)CO)=O,0.9996834
105,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@H](C[C@H](C[C@H](C(N(C)C)=O)CC)NC3)C4=CC=C(COCCOC)C=C4,0.9999999
106,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@H]([C@H](OCC(=O)N4CCCCC4)CNC3)C5=CC=C(COCCOC)C=C5,0.99999464
107,C(CCOC)C=1C=2C(NC1)=CC=C(C[C@@H](C[C@@H]([C@H](CNC(C(C)(C)[C@H]3[C@H](O)CCCC3)=O)O)N)C(C)C)C2,0.99999774
108,N([C@H](C(NCCCOCC)=O)CC(C)C)C1=NC(N2C=C(N=C2)C3=CC(F)=CC=C3)=NC(CCC)=C1,1.0
109,O=C1C2(C=3C(N1CC(NO)=O)=CC=CC3)OCCCO2,1.0
110,C(CC/C=C/C(=C/C1CCCCO1)/C)(=O)N2C(=O)CCC2,1.0
111,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@H](C[C@H](C[C@@H](CC)N4C=NC=N4)NC3)C5=CC=C(OCCCOC)C=C5,1.0
112,C([C@H](CCNCC1=CC=C(Cl)C=C1)N)(=O)N2CC(O)CCC2,1.0
113,[C@@H]([C@H]([C@@H](NCC1=CC=CC=C1)C(NCC2=CC=CC=C2)=O)O)(CC3=CC=CC=C3)NC([C@@H](NC(COC4=CC=CC=C4)=O)CC(N)=O)=O,1.0
114,C(CCCCCCCCCCCCCC)(=O)C1=C(O)C(CO)OC1=O,1.0
115,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@H](C[C@@H](C(O)=O)NC3)C4=CC=C(OC)C=C4,0.9999987
